
Interface: 81.180.22.103 --- 0xd
  Internet Address      Physical Address      Type
  81.180.22.1           00-1c-c4-48-83-c3     dynamic   
  81.180.22.6           dc-0e-a1-95-7a-c9     dynamic   
  81.180.22.9           88-ae-1d-a5-9a-d3     dynamic   
  81.180.22.11          ec-f4-bb-81-16-ed     dynamic   
  81.180.22.12          2c-27-d7-cf-8e-1f     dynamic   
  81.180.22.13          c0-cb-38-9f-1f-8c     dynamic   
  81.180.22.14          00-21-00-86-eb-45     dynamic   
  81.180.22.17          1c-75-08-89-24-29     dynamic   
  81.180.22.18          10-1f-74-bb-4e-59     dynamic   
  81.180.22.24          f4-6d-04-24-9a-3d     dynamic   
  81.180.22.27          00-24-23-0a-8a-05     dynamic   
  81.180.22.31          64-31-50-57-6a-5e     dynamic   
  81.180.22.34          08-9e-01-20-4b-a3     dynamic   
  81.180.22.41          4c-72-b9-76-34-77     dynamic   
  81.180.22.42          b8-88-e3-c7-e9-b3     dynamic   
  81.180.22.44          54-be-f7-27-c4-7b     dynamic   
  81.180.22.53          00-1a-4b-83-be-6b     dynamic   
  81.180.22.59          a4-db-30-0b-41-d3     dynamic   
  81.180.22.63          6c-62-6d-35-e7-69     dynamic   
  81.180.22.65          00-18-f3-19-d6-68     dynamic   
  81.180.22.68          3c-97-0e-90-83-e4     dynamic   
  81.180.22.72          00-15-c5-0a-07-8a     dynamic   
  81.180.22.87          00-26-22-90-1f-92     dynamic   
  81.180.22.88          28-e3-47-77-56-dc     dynamic   
  81.180.22.112         1c-75-08-17-47-02     dynamic   
  81.180.22.116         00-24-54-be-f0-46     dynamic   
  81.180.22.117         b8-ac-6f-62-00-8d     dynamic   
  81.180.22.120         02-50-f2-00-00-08     dynamic   
  81.180.22.126         28-d2-44-62-9b-53     dynamic   
  81.180.22.254         00-0c-29-2b-c6-aa     dynamic   
  81.180.22.255         ff-ff-ff-ff-ff-ff     static    
  224.0.0.2             01-00-5e-00-00-02     static    
  224.0.0.22            01-00-5e-00-00-16     static    
  224.0.0.251           01-00-5e-00-00-fb     static    
  224.0.0.252           01-00-5e-00-00-fc     static    
  239.192.152.143       01-00-5e-40-98-8f     static    
  239.255.17.18         01-00-5e-7f-11-12     static    
  239.255.255.250       01-00-5e-7f-ff-fa     static    
  255.255.255.255       ff-ff-ff-ff-ff-ff     static    
